prompt_id,register,label,sim_institutional,sim_popular_media,sim_critical_media,predicted_register,sim_match,sim_intra,sim_inter,sim_gap
A001,institutional,0,0.35978439468893897,0.13759255953517494,0.3485943679668895,institutional,True,0.35978439468893897,0.2430934637510322,0.11669093093790678
A002,institutional,0,0.2733125521773659,0.10984445163423323,0.20033960525985584,institutional,True,0.2733125521773659,0.15509202844704453,0.11822052373032135
A003,institutional,0,0.2898791992186009,0.10068382086620337,0.2169528487088333,institutional,True,0.2898791992186009,0.15881833478751833,0.13106086443108256
A004,institutional,0,0.45288590725331157,0.07791521099269658,0.22276844582981215,institutional,True,0.45288590725331157,0.15034182841125437,0.3025440788420572
A005,institutional,0,0.30198430426734757,0.17176058587631932,0.19071573088992724,institutional,True,0.30198430426734757,0.1812381583831233,0.12074614588422428
A006,institutional,0,0.40032581827946667,0.10208100814494533,0.2439048481298661,institutional,True,0.40032581827946667,0.17299292813740572,0.22733289014206096
A007,institutional,0,0.5239624361204255,0.18349991084480716,0.3744250271650581,institutional,True,0.5239624361204255,0.2789624690049326,0.24499996711549288
A008,institutional,0,0.35057366378105603,0.03859774334642221,0.25966868763634954,institutional,True,0.35057366378105603,0.14913321549138586,0.20144044828967017
A009,institutional,0,0.34959605433714747,0.07839539659741546,0.31456977492048666,institutional,True,0.34959605433714747,0.19648258575895106,0.1531134685781964
A010,institutional,0,0.2063067345889896,0.005065329637731687,0.23014502568285175,critical_media,False,0.2063067345889896,0.11760517766029172,0.08870155692869788
A011,institutional,0,0.2833293089310075,0.09416546480123318,0.14242763727028127,institutional,True,0.2833293089310075,0.11829655103575723,0.16503275789525026
A012,institutional,0,0.25748689117252965,0.1252765553861705,0.12049662401455474,institutional,True,0.25748689117252965,0.12288658970036262,0.13460030147216703
A013,institutional,0,0.23628007036603482,0.04397708804180693,0.20828343368676927,institutional,True,0.23628007036603482,0.1261302608642881,0.11014980950174671
A014,institutional,0,0.43993699795678476,0.1299431115155632,0.283916584081231,institutional,True,0.43993699795678476,0.2069298477983971,0.23300715015838766
A015,institutional,0,0.3108593062351347,0.061623444779551055,0.2626729384365767,institutional,True,0.3108593062351347,0.16214819160806387,0.14871111462707082
A016,institutional,0,0.36275354837091134,0.09883509576912297,0.3019899594312701,institutional,True,0.36275354837091134,0.20041252760019654,0.1623410207707148
A017,institutional,0,0.3904733487691878,0.18359488729191165,0.2313020468424708,institutional,True,0.3904733487691878,0.20744846706719122,0.1830248817019966
A018,institutional,0,0.3299906266685026,0.10256906403278664,0.370581929713785,critical_media,False,0.3299906266685026,0.23657549687328583,0.09341512979521677
A019,institutional,0,0.45879134077074335,0.16605809550214348,0.4060609011956956,institutional,True,0.45879134077074335,0.2860594983489195,0.17273184242182382
A020,institutional,0,0.47090026205617164,0.09108786452215445,0.26711157809699637,institutional,True,0.47090026205617164,0.1790997213095754,0.2918005407465962
A021,institutional,0,0.33907386010109053,0.04755555524509142,0.2122968488029175,institutional,True,0.33907386010109053,0.12992620202400446,0.20914765807708607
A022,institutional,0,0.15606080898420283,0.0,0.13087773558157123,institutional,True,0.15606080898420283,0.06543886779078562,0.09062194119341721
A023,institutional,0,0.3106440950225978,0.14540706642291815,0.2624252004069272,institutional,True,0.3106440950225978,0.20391613341492265,0.10672796160767517
A024,institutional,0,0.268637205579916,0.04468661455108766,0.18782756649100762,institutional,True,0.268637205579916,0.11625709052104764,0.15238011505886834
A025,institutional,0,0.39805816964399765,0.049008376450075185,0.19249413319175263,institutional,True,0.39805816964399765,0.12075125482091391,0.2773069148230837
A026,institutional,0,0.3809135138109484,0.2043644576250359,0.16523581534167037,institutional,True,0.3809135138109484,0.18480013648335314,0.19611337732759526
A027,institutional,0,0.4392483883523791,0.13170593891332355,0.4712366840106409,critical_media,False,0.4392483883523791,0.30147131146198225,0.13777707689039687
A028,institutional,0,0.16873491185400663,0.0,0.17102068898472023,critical_media,False,0.16873491185400663,0.08551034449236011,0.08322456736164652
A029,institutional,0,0.4598188516997144,0.23660277936107887,0.2814014853166455,institutional,True,0.4598188516997144,0.25900213233886216,0.20081671936085227
A030,institutional,0,0.23526043140011166,0.01553533434803921,0.20518829237782774,institutional,True,0.23526043140011166,0.11036181336293348,0.12489861803717818
A031,institutional,0,0.33945622872034126,0.1007768207250082,0.31593577273622625,institutional,True,0.33945622872034126,0.20835629673061723,0.13109993198972403
